TimeStamp,SPY
2020-07-08 13:30:00,313.93
2020-07-08 13:40:00,314.36
2020-07-08 13:50:00,314.17
2020-07-08 14:00:00,313.87
2020-07-08 14:10:00,313.88
2020-07-08 14:20:00,314.21
2020-07-08 14:30:00,314.3859
2020-07-08 14:40:00,314.35
2020-07-08 14:50:00,314.0701
2020-07-08 15:00:00,314.67
2020-07-08 15:10:00,315.01
2020-07-08 15:20:00,315.375
2020-07-08 15:30:00,315.545
2020-07-08 15:40:00,315.48
2020-07-08 15:50:00,315.49
2020-07-08 16:00:00,316.07
2020-07-09 09:30:00,316.9
2020-07-09 09:40:00,315.915
2020-07-09 09:50:00,315.65
2020-07-09 10:00:00,316.11
2020-07-09 10:10:00,316.14
2020-07-09 10:20:00,314.82
2020-07-09 10:30:00,315.15
2020-07-09 10:40:00,314.22
2020-07-09 10:50:00,313.11
2020-07-09 11:00:00,311.86
2020-07-09 11:10:00,312.405
2020-07-09 11:20:00,310.76
2020-07-09 11:30:00,311.65
2020-07-09 11:40:00,312.06
2020-07-09 11:50:00,311.89
2020-07-09 12:00:00,312.2101
2020-07-09 12:10:00,313.235
2020-07-09 12:20:00,313.27
2020-07-09 12:30:00,313.0
2020-07-09 12:40:00,312.945
2020-07-09 12:50:00,313.435
2020-07-09 13:00:00,313.46
2020-07-09 13:10:00,313.96
2020-07-09 13:20:00,314.12
2020-07-09 13:30:00,314.01
2020-07-09 13:40:00,313.99
2020-07-09 13:50:00,313.66
2020-07-09 14:00:00,313.35
2020-07-09 14:10:00,313.95
2020-07-09 14:20:00,314.585
2020-07-09 14:30:00,314.56
2020-07-09 14:40:00,314.37
2020-07-09 14:50:00,314.52
2020-07-09 15:00:00,314.89
2020-07-09 15:10:00,314.98
2020-07-09 15:20:00,315.015
2020-07-09 15:30:00,313.9
2020-07-09 15:40:00,313.86
2020-07-09 15:50:00,314.6
2020-07-09 16:00:00,314.41
2020-07-10 09:30:00,314.42
2020-07-10 09:40:00,314.5872
2020-07-10 09:50:00,314.63
2020-07-10 10:00:00,313.96
2020-07-10 10:10:00,313.51
2020-07-10 10:20:00,314.14
2020-07-10 10:30:00,314.66
2020-07-10 10:40:00,314.86
2020-07-10 10:50:00,315.04
2020-07-10 11:00:00,315.07
2020-07-10 11:10:00,315.1
2020-07-10 11:20:00,315.225
2020-07-10 11:30:00,315.325
2020-07-10 11:40:00,315.48
2020-07-10 11:50:00,315.67
2020-07-10 12:00:00,315.86
2020-07-10 12:10:00,316.0
2020-07-10 12:20:00,315.61
2020-07-10 12:30:00,315.2208
2020-07-10 12:40:00,315.221
2020-07-10 12:50:00,315.6412
2020-07-10 13:00:00,315.82
2020-07-10 13:10:00,315.89
2020-07-10 13:20:00,315.733
2020-07-10 13:30:00,315.97
2020-07-10 13:40:00,316.02
2020-07-10 13:50:00,316.47
2020-07-10 14:00:00,316.54
2020-07-10 14:10:00,316.51
2020-07-10 14:20:00,316.36
2020-07-10 14:30:00,316.4
2020-07-10 14:40:00,316.76
2020-07-10 14:50:00,316.855
2020-07-10 15:00:00,316.87
2020-07-10 15:10:00,316.8
2020-07-10 15:20:00,317.32
2020-07-10 15:30:00,317.31
2020-07-10 15:40:00,317.39
2020-07-10 15:50:00,317.74
2020-07-10 16:00:00,317.64
2020-07-13 09:30:00,317.59
2020-07-13 09:40:00,319.88
2020-07-13 09:50:00,319.94
2020-07-13 10:00:00,319.5403
2020-07-13 10:10:00,320.29
2020-07-13 10:20:00,320.6301
2020-07-13 10:30:00,321.1
2020-07-13 10:40:00,320.84
2020-07-13 10:50:00,321.125
2020-07-13 11:00:00,321.65
2020-07-13 11:10:00,321.82
2020-07-13 11:20:00,321.93
2020-07-13 11:30:00,322.22
2020-07-13 11:40:00,322.055
2020-07-13 11:50:00,321.65
2020-07-13 12:00:00,321.72
2020-07-13 12:10:00,321.93
2020-07-13 12:20:00,321.76
2020-07-13 12:30:00,321.8
2020-07-13 12:40:00,321.98
2020-07-13 12:50:00,321.76
2020-07-13 13:00:00,321.65
2020-07-13 13:10:00,321.77
2020-07-13 13:20:00,322.25
2020-07-13 13:30:00,322.265
2020-07-13 13:40:00,322.45
2020-07-13 13:50:00,322.0
2020-07-13 14:00:00,321.92
2020-07-13 14:10:00,320.62
2020-07-13 14:20:00,320.91
2020-07-13 14:30:00,319.9
2020-07-13 14:40:00,319.76
2020-07-13 14:50:00,320.25
2020-07-13 15:00:00,320.42
2020-07-13 15:10:00,318.245
2020-07-13 15:20:00,318.05
2020-07-13 15:30:00,317.115
2020-07-13 15:40:00,315.46
2020-07-13 15:50:00,314.92
2020-07-13 16:00:00,314.64
2020-07-14 09:30:00,314.84
2020-07-14 09:40:00,314.56
2020-07-14 09:50:00,313.67
2020-07-14 10:00:00,313.93
2020-07-14 10:10:00,312.565
2020-07-14 10:20:00,312.83
2020-07-14 10:30:00,314.37
2020-07-14 10:40:00,314.5573
2020-07-14 10:50:00,315.44
2020-07-14 11:00:00,314.97
2020-07-14 11:10:00,315.17
2020-07-14 11:20:00,315.44
2020-07-14 11:30:00,315.3
2020-07-14 11:40:00,315.88
2020-07-14 11:50:00,316.253
2020-07-14 12:00:00,316.0
2020-07-14 12:10:00,315.45
2020-07-14 12:20:00,316.2433
2020-07-14 12:30:00,315.99
2020-07-14 12:40:00,316.13
2020-07-14 12:50:00,316.24
2020-07-14 13:00:00,315.355
2020-07-14 13:10:00,314.64
2020-07-14 13:20:00,315.12
2020-07-14 13:30:00,315.44
2020-07-14 13:40:00,316.35
2020-07-14 13:50:00,316.535
2020-07-14 14:00:00,316.38
2020-07-14 14:10:00,316.74
2020-07-14 14:20:00,317.29
2020-07-14 14:30:00,317.24
2020-07-14 14:40:00,316.72
2020-07-14 14:50:00,316.51
2020-07-14 15:00:00,317.3899
2020-07-14 15:10:00,316.54
2020-07-14 15:20:00,316.15
2020-07-14 15:30:00,317.33
2020-07-14 15:40:00,317.655
2020-07-14 15:50:00,318.54
2020-07-14 16:00:00,318.98
2020-07-15 09:30:00,318.92
2020-07-15 09:40:00,321.44
2020-07-15 09:50:00,322.36
2020-07-15 10:00:00,321.88
2020-07-15 10:10:00,321.7
2020-07-15 10:20:00,322.0
2020-07-15 10:30:00,322.5
2020-07-15 10:40:00,322.789
2020-07-15 10:50:00,322.895
2020-07-15 11:00:00,322.3
2020-07-15 11:10:00,321.5
2020-07-15 11:20:00,321.33
2020-07-15 11:30:00,321.73
2020-07-15 11:40:00,320.79
2020-07-15 11:50:00,320.23
2020-07-15 12:00:00,319.74
2020-07-15 12:10:00,319.854
2020-07-15 12:20:00,320.52
2020-07-15 12:30:00,320.6
2020-07-15 12:40:00,319.96
2020-07-15 12:50:00,320.8
2020-07-15 13:00:00,321.08
2020-07-15 13:10:00,321.53
2020-07-15 13:20:00,321.25
2020-07-15 13:30:00,321.3
2020-07-15 13:40:00,321.6
2020-07-15 13:50:00,321.41
2020-07-15 14:00:00,321.11
2020-07-15 14:10:00,321.82
2020-07-15 14:20:00,321.72
2020-07-15 14:30:00,321.88
2020-07-15 14:40:00,321.92
2020-07-15 14:50:00,321.815
2020-07-15 15:00:00,320.94
2020-07-15 15:10:00,320.76
2020-07-15 15:20:00,321.06
2020-07-15 15:30:00,321.53
2020-07-15 15:40:00,321.94
2020-07-15 15:50:00,322.505
2020-07-15 16:00:00,321.92
2020-07-16 09:30:00,319.76
2020-07-16 09:40:00,319.99
2020-07-16 09:50:00,319.88
2020-07-16 10:00:00,319.6299
2020-07-16 10:10:00,319.53
2020-07-16 10:20:00,319.7
2020-07-16 10:30:00,320.23
2020-07-16 10:40:00,320.29
2020-07-16 10:50:00,320.39
2020-07-16 11:00:00,319.85
2020-07-16 11:10:00,319.6
2020-07-16 11:20:00,319.68
2020-07-16 11:30:00,319.97
2020-07-16 11:40:00,319.745
2020-07-16 11:50:00,319.44
2020-07-16 12:00:00,319.78
2020-07-16 12:10:00,319.94
2020-07-16 12:20:00,319.48
2020-07-16 12:30:00,319.5616
2020-07-16 12:40:00,319.77
2020-07-16 12:50:00,319.94
2020-07-16 13:00:00,319.74
2020-07-16 13:10:00,320.19
2020-07-16 13:20:00,320.4701
2020-07-16 13:30:00,320.59
2020-07-16 13:40:00,320.21
2020-07-16 13:50:00,320.39
2020-07-16 14:00:00,319.8999
2020-07-16 14:10:00,320.39
2020-07-16 14:20:00,320.35
2020-07-16 14:30:00,320.5
2020-07-16 14:40:00,320.28
2020-07-16 14:50:00,319.56
2020-07-16 15:00:00,319.4
2020-07-16 15:10:00,319.7548
2020-07-16 15:20:00,320.105
2020-07-16 15:30:00,320.7801
2020-07-16 15:40:00,321.16
2020-07-16 15:50:00,320.58
2020-07-16 16:00:00,320.74
2020-07-17 09:30:00,320.79
2020-07-17 09:40:00,321.33
2020-07-17 09:50:00,321.22
2020-07-17 10:00:00,321.32
2020-07-17 10:10:00,320.95
2020-07-17 10:20:00,320.81
2020-07-17 10:30:00,320.1
2020-07-17 10:40:00,320.3038
2020-07-17 10:50:00,320.525
2020-07-17 11:00:00,321.03
2020-07-17 11:10:00,321.3301
2020-07-17 11:20:00,321.08
2020-07-17 11:30:00,321.16
2020-07-17 11:40:00,321.1
2020-07-17 11:50:00,320.845
2020-07-17 12:00:00,321.38
2020-07-17 12:10:00,321.615
2020-07-17 12:20:00,321.47
2020-07-17 12:30:00,321.46
2020-07-17 12:40:00,321.46
2020-07-17 12:50:00,321.4098
2020-07-17 13:00:00,321.22
2020-07-17 13:10:00,321.435
2020-07-17 13:20:00,321.105
2020-07-17 13:30:00,321.4561
2020-07-17 13:40:00,321.201
2020-07-17 13:50:00,321.3668
2020-07-17 14:00:00,321.24
2020-07-17 14:10:00,321.76
2020-07-17 14:20:00,322.08
2020-07-17 14:30:00,321.93
2020-07-17 14:40:00,321.85
2020-07-17 14:50:00,321.9
2020-07-17 15:00:00,321.99
2020-07-17 15:10:00,321.98
2020-07-17 15:20:00,321.99
2020-07-17 15:30:00,322.31
2020-07-17 15:40:00,322.325
2020-07-17 15:50:00,322.18
2020-07-17 16:00:00,321.7
2020-07-20 09:30:00,321.72
2020-07-20 09:40:00,321.58
2020-07-20 09:50:00,320.77
2020-07-20 10:00:00,321.13
2020-07-20 10:10:00,321.7
2020-07-20 10:20:00,322.0427
2020-07-20 10:30:00,322.61
2020-07-20 10:40:00,322.8101
2020-07-20 10:50:00,322.72
2020-07-20 11:00:00,322.495
2020-07-20 11:10:00,322.37
2020-07-20 11:20:00,322.63
2020-07-20 11:30:00,322.725
2020-07-20 11:40:00,322.99
2020-07-20 11:50:00,323.069
2020-07-20 12:00:00,322.8321
2020-07-20 12:10:00,322.73
2020-07-20 12:20:00,323.035
2020-07-20 12:30:00,322.73
2020-07-20 12:40:00,322.96
2020-07-20 12:50:00,322.98
2020-07-20 13:00:00,322.98
2020-07-20 13:10:00,322.95
2020-07-20 13:20:00,323.25
2020-07-20 13:30:00,323.285
2020-07-20 13:40:00,323.24
2020-07-20 13:50:00,323.57
2020-07-20 14:00:00,323.715
2020-07-20 14:10:00,323.607
2020-07-20 14:20:00,323.62
2020-07-20 14:30:00,323.7498
2020-07-20 14:40:00,323.79
2020-07-20 14:50:00,323.9
2020-07-20 15:00:00,323.79
2020-07-20 15:10:00,323.84
2020-07-20 15:20:00,324.25
2020-07-20 15:30:00,324.51
2020-07-20 15:40:00,324.89
2020-07-20 15:50:00,324.965
2020-07-20 16:00:00,324.32
2020-07-21 09:30:00,324.32
2020-07-21 09:40:00,326.17
2020-07-21 09:50:00,326.6
2020-07-21 10:00:00,326.72
2020-07-21 10:10:00,326.415
2020-07-21 10:20:00,326.64
2020-07-21 10:30:00,325.785
2020-07-21 10:40:00,326.02
2020-07-21 10:50:00,326.15
2020-07-21 11:00:00,326.41
2020-07-21 11:10:00,326.13
2020-07-21 11:20:00,326.48
2020-07-21 11:30:00,326.44
2020-07-21 11:40:00,326.306
2020-07-21 11:50:00,325.93
2020-07-21 12:00:00,326.0218
2020-07-21 12:10:00,325.69
2020-07-21 12:20:00,325.73
2020-07-21 12:30:00,326.05
2020-07-21 12:40:00,325.85
2020-07-21 12:50:00,325.89
2020-07-21 13:00:00,326.2901
2020-07-21 13:10:00,326.25
2020-07-21 13:20:00,326.12
2020-07-21 13:30:00,326.31
2020-07-21 13:40:00,326.44
2020-07-21 13:50:00,326.57
2020-07-21 14:00:00,326.495
2020-07-21 14:10:00,326.825
2020-07-21 14:20:00,326.36
2020-07-21 14:30:00,326.61
2020-07-21 14:40:00,326.36
2020-07-21 14:50:00,326.46
2020-07-21 15:00:00,326.42
2020-07-21 15:10:00,326.015
2020-07-21 15:20:00,325.19
2020-07-21 15:30:00,325.0203
2020-07-21 15:40:00,324.6083
2020-07-21 15:50:00,325.15
2020-07-21 16:00:00,324.98
2020-07-22 09:30:00,325.01
2020-07-22 09:40:00,325.325
2020-07-22 09:50:00,325.4525
2020-07-22 10:00:00,325.74
2020-07-22 10:10:00,325.76
2020-07-22 10:20:00,325.73
2020-07-22 10:30:00,325.31
2020-07-22 10:40:00,325.72
2020-07-22 10:50:00,325.09
2020-07-22 11:00:00,325.21
2020-07-22 11:10:00,324.9699
2020-07-22 11:20:00,324.92
2020-07-22 11:30:00,325.39
2020-07-22 11:40:00,325.5563
2020-07-22 11:50:00,325.615
2020-07-22 12:00:00,325.59
2020-07-22 12:10:00,325.515
2020-07-22 12:20:00,326.09
2020-07-22 12:30:00,326.0
2020-07-22 12:40:00,325.865
2020-07-22 12:50:00,325.94
2020-07-22 13:00:00,325.86
2020-07-22 13:10:00,325.73
2020-07-22 13:20:00,325.95
2020-07-22 13:30:00,325.77
2020-07-22 13:40:00,325.5533
2020-07-22 13:50:00,325.19
2020-07-22 14:00:00,324.77
2020-07-22 14:10:00,325.3
2020-07-22 14:20:00,325.46
2020-07-22 14:30:00,325.51
2020-07-22 14:40:00,325.79
2020-07-22 14:50:00,325.765
2020-07-22 15:00:00,325.75
2020-07-22 15:10:00,325.915
2020-07-22 15:20:00,326.23
2020-07-22 15:30:00,326.05
2020-07-22 15:40:00,326.265
2020-07-22 15:50:00,326.96
2020-07-22 16:00:00,326.76
2020-07-23 09:30:00,326.86
2020-07-23 09:40:00,326.55
2020-07-23 09:50:00,327.07
2020-07-23 10:00:00,326.97
2020-07-23 10:10:00,326.745
2020-07-23 10:20:00,325.62
2020-07-23 10:30:00,326.4
2020-07-23 10:40:00,326.53
2020-07-23 10:50:00,326.7601
2020-07-23 11:00:00,326.24
2020-07-23 11:10:00,326.435
2020-07-23 11:20:00,326.5801
2020-07-23 11:30:00,326.68
2020-07-23 11:40:00,327.04
2020-07-23 11:50:00,326.85
2020-07-23 12:00:00,326.65
2020-07-23 12:10:00,325.59
2020-07-23 12:20:00,325.79
2020-07-23 12:30:00,325.76
2020-07-23 12:40:00,325.31
2020-07-23 12:50:00,325.41
2020-07-23 13:00:00,325.27
2020-07-23 13:10:00,325.58
2020-07-23 13:20:00,325.13
2020-07-23 13:30:00,324.96
2020-07-23 13:40:00,324.4
2020-07-23 13:50:00,323.3
2020-07-23 14:00:00,323.57
2020-07-23 14:10:00,322.71
2020-07-23 14:20:00,322.18
2020-07-23 14:30:00,322.61
2020-07-23 14:40:00,321.91
2020-07-23 14:50:00,322.83
2020-07-23 15:00:00,322.95
2020-07-23 15:10:00,322.41
2020-07-23 15:20:00,322.75
2020-07-23 15:30:00,322.475
2020-07-23 15:40:00,322.67
2020-07-23 15:50:00,322.525
2020-07-23 16:00:00,322.85
2020-07-24 09:30:00,322.96
2020-07-24 09:40:00,319.8
2020-07-24 09:50:00,320.24
2020-07-24 10:00:00,320.6
2020-07-24 10:10:00,321.19
2020-07-24 10:20:00,321.18
2020-07-24 10:30:00,321.31
2020-07-24 10:40:00,320.46
2020-07-24 10:50:00,321.02
2020-07-24 11:00:00,321.8191
2020-07-24 11:10:00,321.6181
2020-07-24 11:20:00,321.29
2020-07-24 11:30:00,321.7
2020-07-24 11:40:00,321.15
2020-07-24 11:50:00,321.1
2020-07-24 12:00:00,321.34
2020-07-24 12:10:00,320.63
2020-07-24 12:20:00,320.52
2020-07-24 12:30:00,320.83
2020-07-24 12:40:00,320.7
2020-07-24 12:50:00,320.34
2020-07-24 13:00:00,320.255
2020-07-24 13:10:00,319.76
2020-07-24 13:20:00,319.57
2020-07-24 13:30:00,320.19
2020-07-24 13:40:00,320.02
2020-07-24 13:50:00,320.66
2020-07-24 14:00:00,320.62
2020-07-24 14:10:00,321.04
2020-07-24 14:20:00,320.9
2020-07-24 14:30:00,321.36
2020-07-24 14:40:00,321.19
2020-07-24 14:50:00,320.86
2020-07-24 15:00:00,320.79
2020-07-24 15:10:00,321.12
2020-07-24 15:20:00,320.4
2020-07-24 15:30:00,320.14
2020-07-24 15:40:00,320.73
2020-07-24 15:50:00,320.58
2020-07-24 16:00:00,320.9701
2020-07-27 09:30:00,320.88
2020-07-27 09:40:00,321.22
2020-07-27 09:50:00,322.06
2020-07-27 10:00:00,322.61
2020-07-27 10:10:00,322.555
2020-07-27 10:20:00,322.64
2020-07-27 10:30:00,322.57
2020-07-27 10:40:00,322.915
2020-07-27 10:50:00,322.83
2020-07-27 11:00:00,322.59
2020-07-27 11:10:00,322.52
2020-07-27 11:20:00,322.2835
2020-07-27 11:30:00,321.77
2020-07-27 11:40:00,321.54
2020-07-27 11:50:00,321.8632
2020-07-27 12:00:00,321.91
2020-07-27 12:10:00,322.07
2020-07-27 12:20:00,321.94
2020-07-27 12:30:00,322.19
2020-07-27 12:40:00,322.351
2020-07-27 12:50:00,322.3
2020-07-27 13:00:00,322.37
2020-07-27 13:10:00,322.33
2020-07-27 13:20:00,322.47
2020-07-27 13:30:00,322.65
2020-07-27 13:40:00,322.75
2020-07-27 13:50:00,322.525
2020-07-27 14:00:00,322.5
2020-07-27 14:10:00,322.62
2020-07-27 14:20:00,322.432
2020-07-27 14:30:00,322.78
2020-07-27 14:40:00,322.86
2020-07-27 14:50:00,322.6
2020-07-27 15:00:00,322.35
2020-07-27 15:10:00,322.87
2020-07-27 15:20:00,322.89
2020-07-27 15:30:00,323.19
2020-07-27 15:40:00,323.075
2020-07-27 15:50:00,323.3916
2020-07-27 16:00:00,323.27
2020-07-28 09:30:00,323.22
2020-07-28 09:40:00,322.5693
2020-07-28 09:50:00,322.08
2020-07-28 10:00:00,321.9
2020-07-28 10:10:00,322.43
2020-07-28 10:20:00,322.81
2020-07-28 10:30:00,322.82
2020-07-28 10:40:00,322.6007
2020-07-28 10:50:00,322.52
2020-07-28 11:00:00,322.81
2020-07-28 11:10:00,322.409
2020-07-28 11:20:00,322.82
2020-07-28 11:30:00,322.91
2020-07-28 11:40:00,323.34
2020-07-28 11:50:00,323.3
2020-07-28 12:00:00,322.89
2020-07-28 12:10:00,322.84
2020-07-28 12:20:00,322.62
2020-07-28 12:30:00,322.68
2020-07-28 12:40:00,322.87
2020-07-28 12:50:00,322.83
2020-07-28 13:00:00,323.02
2020-07-28 13:10:00,323.035
2020-07-28 13:20:00,322.942
2020-07-28 13:30:00,323.15
2020-07-28 13:40:00,323.41
2020-07-28 13:50:00,323.52
2020-07-28 14:00:00,323.52
2020-07-28 14:10:00,323.43
2020-07-28 14:20:00,323.385
2020-07-28 14:30:00,323.13
2020-07-28 14:40:00,323.36
2020-07-28 14:50:00,323.09
2020-07-28 15:00:00,323.0
2020-07-28 15:10:00,322.57
2020-07-28 15:20:00,322.514
2020-07-28 15:30:00,321.97
2020-07-28 15:40:00,321.72
2020-07-28 15:50:00,321.4
2020-07-28 16:00:00,321.19
2020-07-29 09:30:00,322.12
2020-07-29 09:40:00,322.38
2020-07-29 09:50:00,322.36
2020-07-29 10:00:00,322.8
2020-07-29 10:10:00,323.2
2020-07-29 10:20:00,323.34
2020-07-29 10:30:00,323.25
2020-07-29 10:40:00,323.4
2020-07-29 10:50:00,323.56
2020-07-29 11:00:00,323.77
2020-07-29 11:10:00,323.59
2020-07-29 11:20:00,323.4276
2020-07-29 11:30:00,323.8327
2020-07-29 11:40:00,323.73
2020-07-29 11:50:00,323.685
2020-07-29 12:00:00,323.66
2020-07-29 12:10:00,323.235
2020-07-29 12:20:00,323.51
2020-07-29 12:30:00,323.74
2020-07-29 12:40:00,324.02
2020-07-29 12:50:00,323.95
2020-07-29 13:00:00,323.96
2020-07-29 13:10:00,323.97
2020-07-29 13:20:00,324.145
2020-07-29 13:30:00,324.2
2020-07-29 13:40:00,324.14
2020-07-29 13:50:00,324.15
2020-07-29 14:00:00,323.99
2020-07-29 14:10:00,324.27
2020-07-29 14:20:00,324.31
2020-07-29 14:30:00,324.36
2020-07-29 14:40:00,324.98
2020-07-29 14:50:00,325.26
2020-07-29 15:00:00,324.54
2020-07-29 15:10:00,324.49
2020-07-29 15:20:00,324.98
2020-07-29 15:30:00,325.2
2020-07-29 15:40:00,325.58
2020-07-29 15:50:00,325.22
2020-07-29 16:00:00,325.1
2020-07-30 09:30:00,325.12
2020-07-30 09:40:00,321.79
2020-07-30 09:50:00,321.65
2020-07-30 10:00:00,320.0
2020-07-30 10:10:00,320.9
2020-07-30 10:20:00,320.321
2020-07-30 10:30:00,320.78
2020-07-30 10:40:00,321.59
2020-07-30 10:50:00,320.8
2020-07-30 11:00:00,321.41
2020-07-30 11:10:00,321.731
2020-07-30 11:20:00,322.32
2020-07-30 11:30:00,322.09
2020-07-30 11:40:00,322.635
2020-07-30 11:50:00,322.73
2020-07-30 12:00:00,322.755
2020-07-30 12:10:00,322.47
2020-07-30 12:20:00,323.6898
2020-07-30 12:30:00,323.3918
2020-07-30 12:40:00,323.4
2020-07-30 12:50:00,323.5675
2020-07-30 13:00:00,323.57
2020-07-30 13:10:00,323.86
2020-07-30 13:20:00,324.29
2020-07-30 13:30:00,323.73
2020-07-30 13:40:00,323.16
2020-07-30 13:50:00,323.3267
2020-07-30 14:00:00,323.715
2020-07-30 14:10:00,323.84
2020-07-30 14:20:00,323.43
2020-07-30 14:30:00,323.44
2020-07-30 14:40:00,323.86
2020-07-30 14:50:00,324.13
2020-07-30 15:00:00,323.9
2020-07-30 15:10:00,323.5
2020-07-30 15:20:00,324.18
2020-07-30 15:30:00,324.25
2020-07-30 15:40:00,323.8818
2020-07-30 15:50:00,323.66
2020-07-30 16:00:00,324.01
2020-07-31 09:30:00,323.96
2020-07-31 09:40:00,324.52
2020-07-31 09:50:00,324.66
2020-07-31 10:00:00,324.695
2020-07-31 10:10:00,323.935
2020-07-31 10:20:00,322.86
2020-07-31 10:30:00,322.75
2020-07-31 10:40:00,323.375
2020-07-31 10:50:00,323.08
2020-07-31 11:00:00,323.305
2020-07-31 11:10:00,323.15
2020-07-31 11:20:00,324.352
2020-07-31 11:30:00,324.14
2020-07-31 11:40:00,323.7999
2020-07-31 11:50:00,324.01
2020-07-31 12:00:00,323.26
2020-07-31 12:10:00,322.61
2020-07-31 12:20:00,322.48
2020-07-31 12:30:00,322.89
2020-07-31 12:40:00,321.77
2020-07-31 12:50:00,321.86
2020-07-31 13:00:00,321.71
2020-07-31 13:10:00,322.05
2020-07-31 13:20:00,322.01
2020-07-31 13:30:00,322.73
2020-07-31 13:40:00,322.365
2020-07-31 13:50:00,322.91
2020-07-31 14:00:00,322.5964
2020-07-31 14:10:00,322.11
2020-07-31 14:20:00,322.08
2020-07-31 14:30:00,322.59
2020-07-31 14:40:00,322.8984
2020-07-31 14:50:00,323.21
2020-07-31 15:00:00,323.91
2020-07-31 15:10:00,324.34
2020-07-31 15:20:00,324.44
2020-07-31 15:30:00,324.6007
2020-07-31 15:40:00,324.735
2020-07-31 15:50:00,325.37
2020-07-31 16:00:00,326.46
2020-08-03 09:30:00,326.52
2020-08-03 09:40:00,327.76
2020-08-03 09:50:00,328.03
2020-08-03 10:00:00,328.345
2020-08-03 10:10:00,328.99
2020-08-03 10:20:00,329.04
2020-08-03 10:30:00,328.61
2020-08-03 10:40:00,328.8067
2020-08-03 10:50:00,327.93
2020-08-03 11:00:00,328.23
2020-08-03 11:10:00,328.59
2020-08-03 11:20:00,328.825
2020-08-03 11:30:00,328.84
2020-08-03 11:40:00,329.11
2020-08-03 11:50:00,329.18
2020-08-03 12:00:00,329.06
2020-08-03 12:10:00,328.96
2020-08-03 12:20:00,329.005
2020-08-03 12:30:00,328.87
2020-08-03 12:40:00,328.92
2020-08-03 12:50:00,328.9777
2020-08-03 13:00:00,328.9
2020-08-03 13:10:00,328.99
2020-08-03 13:20:00,329.02
2020-08-03 13:30:00,329.1499
2020-08-03 13:40:00,329.0901
2020-08-03 13:50:00,328.93
2020-08-03 14:00:00,329.08
2020-08-03 14:10:00,328.91
2020-08-03 14:20:00,329.33
2020-08-03 14:30:00,329.41
2020-08-03 14:40:00,329.58
2020-08-03 14:50:00,329.405
2020-08-03 15:00:00,329.46
2020-08-03 15:10:00,329.3201
2020-08-03 15:20:00,328.9
2020-08-03 15:30:00,328.995
2020-08-03 15:40:00,329.031
2020-08-03 15:50:00,329.135
2020-08-03 16:00:00,328.81
2020-08-04 09:30:00,328.79
2020-08-04 09:40:00,328.18
2020-08-04 09:50:00,328.635
2020-08-04 10:00:00,328.65
2020-08-04 10:10:00,329.25
2020-08-04 10:20:00,329.09
2020-08-04 10:30:00,328.77
2020-08-04 10:40:00,328.94
2020-08-04 10:50:00,329.38
2020-08-04 11:00:00,329.38
2020-08-04 11:10:00,329.27
2020-08-04 11:20:00,329.6101
2020-08-04 11:30:00,329.415
2020-08-04 11:40:00,329.32
2020-08-04 11:50:00,329.4
2020-08-04 12:00:00,329.4275
2020-08-04 12:10:00,329.005
2020-08-04 12:20:00,328.9
2020-08-04 12:30:00,329.14
2020-08-04 12:40:00,329.02
2020-08-04 12:50:00,329.08
2020-08-04 13:00:00,328.92
2020-08-04 13:10:00,328.88
2020-08-04 13:20:00,329.355
2020-08-04 13:30:00,329.28
2020-08-04 13:40:00,329.285
2020-08-04 13:50:00,329.1
2020-08-04 14:00:00,329.33
2020-08-04 14:10:00,329.26
2020-08-04 14:20:00,329.155
2020-08-04 14:30:00,328.67
2020-08-04 14:40:00,327.96
2020-08-04 14:50:00,328.525
2020-08-04 15:00:00,328.9839
2020-08-04 15:10:00,329.005
2020-08-04 15:20:00,329.06
2020-08-04 15:30:00,329.15
2020-08-04 15:40:00,329.2
2020-08-04 15:50:00,329.365
2020-08-04 16:00:00,330.02
2020-08-05 09:30:00,330.06
2020-08-05 09:40:00,331.6236
2020-08-05 09:50:00,331.59
2020-08-05 10:00:00,331.88
2020-08-05 10:10:00,331.99
2020-08-05 10:20:00,331.88
2020-08-05 10:30:00,332.0
2020-08-05 10:40:00,331.75
2020-08-05 10:50:00,331.98
2020-08-05 11:00:00,331.86
2020-08-05 11:10:00,332.3
2020-08-05 11:20:00,332.205
2020-08-05 11:30:00,332.03
2020-08-05 11:40:00,332.2
2020-08-05 11:50:00,331.84
2020-08-05 12:00:00,331.64
2020-08-05 12:10:00,331.79
2020-08-05 12:20:00,331.83
2020-08-05 12:30:00,331.5
2020-08-05 12:40:00,331.7848
2020-08-05 12:50:00,331.76
2020-08-05 13:00:00,331.8
2020-08-05 13:10:00,331.74
2020-08-05 13:20:00,331.849
2020-08-05 13:30:00,331.87
2020-08-05 13:40:00,331.925
2020-08-05 13:50:00,331.775
2020-08-05 14:00:00,331.885
2020-08-05 14:10:00,331.99
2020-08-05 14:20:00,331.97
2020-08-05 14:30:00,332.1
2020-08-05 14:40:00,332.13
2020-08-05 14:50:00,331.95
2020-08-05 15:00:00,331.88
2020-08-05 15:10:00,331.69
2020-08-05 15:20:00,331.835
2020-08-05 15:30:00,331.76
2020-08-05 15:40:00,331.8742
2020-08-05 15:50:00,331.28
2020-08-05 16:00:00,332.095
2020-08-06 09:30:00,332.11
2020-08-06 09:40:00,331.4
2020-08-06 09:50:00,331.8
